ID_Assuré,Période_exposition,Nb_sinistres,Montant_total,Âge,Sexe,Expérience,Type_véhicule,Zone_géographique,Usage,Historique,Date_sinistre
A1001,0.61,0,0,31,Homme,12,Citadine,Paris,Professionnel,,
A1002,0.87,1,12746,38,Homme,14,Break,Lyon,Privé,Bonus,2024-08-19
A1003,0.62,2,18959,45,Homme,23,Utilitaire,Toulouse,Professionnel,Bonus,2024-08-21
A1004,0.97,1,14089,53,Homme,9,Cabriolet,Paris,Professionnel,Bonus,2024-05-08
A1005,0.79,1,8150,65,Homme,5,SUV,Nantes,Privé,Malus,2024-05-29
A1006,0.91,2,3104,21,Homme,0,Berline,Marseille,Privé,Bonus,2024-05-31
A1007,0.84,0,0,42,Femme,5,Citadine,Paris,Professionnel,,
A1008,0.92,0,0,57,Homme,29,Berline,Lille,Privé,,
A1009,0.98,0,0,41,Femme,17,Cabriolet,Nice,Professionnel,Bonus,
A1010,0.91,0,0,53,Femme,28,SUV,Bordeaux,Professionnel,,
A1011,0.57,2,16641,20,Homme,1,SUV,Lille,Professionnel,,2024-12-22
A1012,1.0,0,0,24,Homme,0,Break,Lille,Privé,Malus,
A1013,0.57,2,14909,31,Homme,6,Utilitaire,Nice,Professionnel,Bonus,2024-06-12
A1014,0.89,0,0,38,Homme,4,Break,Strasbourg,Professionnel,Bonus,
A1015,0.82,0,0,64,Homme,39,SUV,Rennes,Privé,,
A1016,0.97,0,0,18,Femme,0,Utilitaire,Lyon,Professionnel,Malus,
A1017,0.77,0,0,18,Homme,0,Citadine,Nice,Professionnel,Bonus,
A1018,0.69,0,0,35,Femme,5,Cabriolet,Strasbourg,Privé,,
A1019,0.64,1,1918,51,Homme,30,Break,Bordeaux,Professionnel,Bonus,2024-05-30
A1020,0.76,0,0,19,Homme,0,Berline,Strasbourg,Privé,Malus,
A1021,0.75,0,0,34,Femme,6,Citadine,Nice,Privé,Malus,
A1022,0.53,1,15256,22,Homme,4,Break,Lille,Privé,,2024-06-20
A1023,0.86,0,0,64,Femme,17,Berline,Paris,Professionnel,Bonus,
A1024,0.7,0,0,38,Homme,6,Cabriolet,Nantes,Privé,,
A1025,0.91,0,0,41,Homme,8,Break,Bordeaux,Professionnel,Bonus,
A1026,0.67,0,0,41,Homme,12,SUV,Lille,Professionnel,,
A1027,0.62,0,0,18,Femme,0,Citadine,Rennes,Professionnel,Bonus,
A1028,0.62,0,0,20,Homme,1,Cabriolet,Rennes,Professionnel,,
A1029,0.69,1,5261,30,Homme,2,Berline,Lille,Professionnel,Bonus,2024-11-26
A1030,0.73,0,0,18,Homme,0,Citadine,Nice,Privé,,
